geo,cluster13,region,nation,fips,1876_D,1876_R,1876_O,1876_T,1880_D,1880_R,1880_O,1880_T,1884_D,1884_R,1884_O,1884_T,1888_D,1888_R,1888_O,1888_T,1892_D,1892_R,1892_O,1892_T,1896_D,1896_R,1896_O,1896_T,1900_D,1900_R,1900_O,1900_T,1904_D,1904_R,1904_O,1904_T,1908_D,1908_R,1908_O,1908_T,1912_D,1912_R,1912_O,1912_T,1916_D,1916_R,1916_O,1916_T,1920_D,1920_R,1920_O,1920_T,1924_D,1924_R,1924_O,1924_T,1928_D,1928_R,1928_O,1928_T,1932_D,1932_R,1932_O,1932_T,1936_D,1936_R,1936_O,1936_T,1940_D,1940_R,1940_O,1940_T,1944_D,1944_R,1944_O,1944_T,1948_D,1948_R,1948_O,1948_T,1952_D,1952_R,1952_O,1952_T,1956_D,1956_R,1956_O,1956_T,1960_D,1960_R,1960_O,1960_T,1964_D,1964_R,1964_O,1964_T,1968_D,1968_R,1968_O,1968_T,1972_D,1972_R,1972_O,1972_T,1976_D,1976_R,1976_O,1976_T,1980_D,1980_R,1980_O,1980_T,1984_D,1984_R,1984_O,1984_T,1988_D,1988_R,1988_O,1988_T,1992_D,1992_R,1992_O,1992_T,1996_D,1996_R,1996_O,1996_T,2000_D,2000_R,2000_O,2000_T,2004_D,2004_R,2004_O,2004_T,2008_D,2008_R,2008_O,2008_T,2012_D,2012_R,2012_O,2012_T,2016_D,2016_R,2016_O,2016_T,2020_D,2020_R,2020_O,2020_T,2024_D,2024_R,2024_O,2024_T
"Nantucket County, Massachusetts",1,New England,Yankeedom,0500000US25019,,,,,,,,,,,,,,,,,220,440,12,672,62,485,65,612,102,375,12,489,170,378,14,562,136,359,12,507,247,123,194,564,307,249,8,564,205,608,3,816,167,708,14,889,395,865,1,"1,261",561,812,7,"1,380",548,969,27,"1,544",624,"1,015",8,"1,647",569,779,1,"1,349",409,"1,013",20,"1,442",405,"1,490",2,"1,897",317,"1,582",1,"1,900",698,"1,219",2,"1,919","1,197",587,3,"1,787",744,991,57,"1,792",952,"1,418",10,"2,380","1,115","1,399",112,"2,626","1,040","1,149",649,"2,838","1,456","1,697",17,"3,170","2,209","1,469",53,"3,731","2,037","1,158","1,021","4,216","2,453","1,222",484,"4,159","2,874","1,624",428,"4,926","3,608","2,040",76,"5,724","4,073","1,863",116,"6,052","3,830","2,187",103,"6,120","4,146","1,892",545,"6,583","5,241","1,914",183,"7,338","4,784","2,171",163,"7,118"
"Norfolk County, Massachusetts",5,New England,Yankeedom,0500000US25021,,,,,,,,,,,,,,,,,"10,327","11,862",575,"22,764","4,990","16,897","1,113","23,000","7,922","15,144","1,232","24,298","8,372","16,104","1,434","25,910","7,682","18,225","2,187","28,094","9,244","9,650","10,537","29,431","12,702","19,284",858,"32,844","15,720","51,826","1,839","69,385","15,014","57,948","8,516","81,478","47,057","73,530",489,"121,076","49,121","75,232","2,793","127,146","57,770","82,545","8,575","148,890","67,654","97,525",838,"166,017","69,606","97,490",383,"167,479","72,327","100,280","4,130","176,737","74,321","140,409",631,"215,361","76,656","152,747",593,"229,996","135,474","121,744",503,"257,721","186,488","68,612",912,"256,012","160,513","95,858","9,835","266,206","150,732","134,459","1,558","286,749","155,342","136,628","10,646","302,616","117,274","136,184","50,271","303,729","138,222","160,313",784,"299,319","160,289","150,306","4,461","315,056","150,488","103,255","70,521","324,264","180,504","92,982","26,985","300,471","188,450","107,033","21,694","317,177","199,392","127,763","3,982","331,137","200,675","136,841","7,400","344,916","202,714","148,393","5,416","356,523","221,819","119,723","33,000","374,542","273,312","125,294","12,436","411,042","242,712","132,497","11,238","386,447"
"Plymouth County, Massachusetts",1,New England,Yankeedom,0500000US25023,,,,,,,,,,,,,,,,,"7,296","10,501",637,"18,434","3,396","13,405",716,"17,517","4,665","10,813","2,343","17,821","5,746","12,671","2,392","20,809","5,295","13,236","2,674","21,205","6,991","5,590","11,072","23,653","11,009","13,515","1,228","25,752","9,373","33,582","2,708","45,663","8,863","34,728","6,764","50,355","24,887","41,362",517,"66,766","26,137","37,729","1,878","65,744","30,466","41,942","5,602","78,010","34,481","48,617",508,"83,606","32,290","47,245",174,"79,709","34,765","48,925","1,456","85,146","32,815","67,922",305,"101,042","30,377","75,575",209,"106,161","57,175","60,977",197,"118,349","82,007","37,941",387,"120,335","67,771","54,644","5,562","127,977","69,124","76,062",878,"146,064","83,663","74,684","6,086","164,433","58,772","85,593","28,883","173,248","68,923","105,230",618,"174,771","84,587","105,684","3,209","193,480","79,160","69,514","59,036","207,710","106,072","64,626","23,313","194,011","115,376","82,751","13,450","211,577","125,178","105,603","2,516","233,297","131,817","112,904","5,096","249,817","131,845","121,086","3,600","256,531","135,513","115,369","24,624","275,506","173,630","121,227","9,013","303,870","159,962","133,544","6,623","300,129"
"Suffolk County, Massachusetts",5,New England,Yankeedom,0500000US25025,,,,,,,,,,,,,,,,,"44,504","35,304","1,584","81,392","31,744","53,633","4,174","89,551","47,534","40,951","2,880","91,365","51,714","43,681","3,569","98,964","43,773","46,337","5,429","95,539","46,059","24,179","27,613","97,851","61,047","42,492","2,609","106,148","67,552","108,089","10,457","186,098","78,702","104,658","38,633","221,993","204,603","99,392","2,135","306,130","198,792","88,737","8,543","296,072","223,732","96,418","29,860","350,010","243,233","138,575","2,337","384,145","234,475","139,285",727,"374,487","265,611","105,671","13,785","385,067","240,957","162,147","1,775","404,879","191,245","162,836","1,605","355,686","252,823","85,750","1,044","339,617","257,161","40,251",842,"298,254","203,406","48,952","16,619","268,977","166,250","85,272","1,299","252,821","142,010","80,623","9,739","232,372","113,416","73,271","29,520","216,207","152,568","91,563",866,"244,997","143,677","77,137","3,596","224,410","132,921","51,378","34,974","219,273","145,586","39,753","14,053","199,392","154,888","44,441","17,671","217,000","182,592","54,923","3,130","240,645","207,127","57,194","4,900","269,221","223,896","59,999","5,203","289,098","245,751","50,421","21,035","317,207","270,522","58,613","8,105","337,240","222,280","66,480","10,433","299,193"
"Worcester County, Massachusetts",5,New England,Yankeedom,0500000US25027,,,,,,,,,,,,,,,,,"20,797","27,130","1,544","49,471","10,855","35,579","2,059","48,493","17,148","32,412","2,022","51,582","17,037","34,124","2,300","53,461","16,803","34,394","4,228","55,425","17,565","24,719","16,492","58,776","27,540","32,541","1,599","61,680","34,667","81,241","2,464","118,372","31,171","89,679","12,726","133,576","85,675","94,290","1,045","181,010","87,586","88,535","4,281","180,402","114,136","85,316","11,312","210,764","132,541","100,468","1,099","234,108","123,440","98,414",404,"222,258","133,823","106,757","4,177","244,757","128,898","146,094",645,"275,637","107,889","163,401",580,"271,870","173,103","112,730",500,"286,333","209,383","61,388",860,"271,631","168,437","88,354","8,388","265,179","144,139","127,560","1,428","273,127","172,320","105,217","7,708","285,245","117,326","120,100","41,135","278,561","119,498","156,060",882,"276,440","141,485","148,365","3,406","293,256","138,122","101,984","75,676","315,782","169,892","87,021","34,704","291,617","173,769","114,139","22,240","310,148","192,142","144,094","4,400","340,636","202,107","152,101","9,386","363,594","198,244","163,390","7,478","369,112","198,778","157,682","39,636","396,096","248,773","171,683","14,465","434,921","225,680","183,802","11,359","420,841"
"Alcona County, Michigan",4,Rust Belt,Yankeedom,0500000US26001,,,,,,,,,,,,,,,,,380,556,34,970,275,743,30,"1,048",145,849,16,"1,010",92,901,39,"1,032",175,824,80,"1,079",145,291,552,988,453,573,51,"1,077",264,"1,043",68,"1,375",184,"1,027",209,"1,420",302,"1,149",7,"1,458",884,881,77,"1,842",919,"1,276",215,"2,410",847,"1,648",6,"2,501",716,"1,503",11,"2,230",708,"1,425",35,"2,168",766,"1,441",8,"2,215",788,"1,991",5,"2,784","1,038","2,053",8,"3,099","1,611","1,199",5,"2,815",958,"1,852",342,"3,152","1,195","2,434",64,"3,693","2,038","2,328",37,"4,403","1,857","2,905",300,"5,062","1,616","3,223",14,"4,853","1,918","2,966",21,"4,905","2,383","2,247","1,149","5,779","2,619","2,227",709,"5,555","2,696","3,152",149,"5,997","2,871","3,592",68,"6,531","2,896","3,404",120,"6,420","2,472","3,571",61,"6,104","1,732","4,201",265,"6,198","2,142","4,848",74,"7,064","2,140","5,257",90,"7,487"
"Alger County, Michigan",6,Rust Belt,Yankeedom,0500000US26003,,,,,,,,,,,,,,,,,156,160,2,318,539,801,31,"1,371",415,"1,017",23,"1,455",204,"1,081",43,"1,328",231,997,91,"1,319",263,290,539,"1,092",650,687,85,"1,422",468,"1,263",180,"1,911",228,"1,623",589,"2,440","1,053","1,716",137,"2,906","2,111","1,354",225,"3,690","2,824","1,291",94,"4,209","2,984","1,629",62,"4,675","2,519","1,504",13,"4,036","2,009","1,702",272,"3,983","2,058","2,066",35,"4,159","2,105","2,070",18,"4,193","2,321","1,663",6,"3,990","2,743","1,010",2,"3,755","1,927","1,406",179,"3,512","1,803","2,035",40,"3,878","2,379","1,722",60,"4,161","2,242","2,059",346,"4,647","2,018","2,175",15,"4,208","2,210","1,830",19,"4,059","2,144","1,471",955,"4,570","2,229","1,429",573,"4,231","2,071","2,142",153,"4,366","2,395","2,318",52,"4,765","2,472","2,188",90,"4,750","2,212","2,330",76,"4,618","1,663","2,585",270,"4,518","2,053","3,014",61,"5,128","2,075","3,116",67,"5,258"
"Allegan County, Michigan",4,Rust Belt,Yankeedom,0500000US26005,,,,,,,,,,,,,,,,,"3,207","4,283",915,"8,405","3,937","5,810",296,"10,043","3,275","5,590",279,"9,144","1,576","5,589",390,"7,555","2,186","5,422",446,"8,054","1,925","2,121","3,550","7,596","3,591","4,803",369,"8,763","2,154","7,825",332,"10,311","1,562","9,417",893,"11,872","2,358","10,792",67,"13,217","7,030","8,705",347,"16,082","5,922","9,247",937,"16,106","5,385","12,347",60,"17,792","4,480","12,327",71,"16,878","4,594","10,439",391,"15,424","5,437","15,663",238,"21,338","5,617","16,509",51,"22,177","6,752","16,660",60,"23,472","11,934","11,223",37,"23,194","7,276","14,769","2,438","24,483","7,883","18,407",594,"26,884","9,794","19,330",347,"29,471","9,877","20,560","2,594","33,031","8,389","23,762",187,"32,338","10,785","22,163",240,"33,188","12,823","19,077","8,935","40,835","14,361","20,859","3,570","38,790","15,495","28,197","1,199","44,891","19,355","34,022",530,"53,907","24,165","30,061","1,053","55,279","20,806","31,123",846,"52,775","18,050","34,183","3,887","56,120","24,449","41,392","1,253","67,094","25,637","45,206","1,181","72,024"
"Alpena County, Michigan",6,Rust Belt,Yankeedom,0500000US26007,,,,,,,,,,,,,,,,,"1,536","1,526",45,"3,107","1,665","1,777",40,"3,482","1,435","2,283",129,"3,847",907,"2,498",196,"3,601",949,"2,358",157,"3,464","1,105",709,"1,733","3,547","1,392","2,020",75,"3,487","1,893","3,467",110,"5,470",948,"4,628",531,"6,107","1,984","3,467",15,"5,466","3,562","3,222",222,"7,006","3,231","3,536",309,"7,076","3,597","4,822",13,"8,432","2,856","4,453",18,"7,327","2,743","4,313",96,"7,152","3,134","6,248",39,"9,421","3,033","7,142",2,"10,177","5,071","6,573",9,"11,653","7,508","3,954",10,"11,472","4,788","5,717",756,"11,261","5,104","6,513",214,"11,831","6,310","6,380",176,"12,866","5,834","6,901","1,097","13,832","5,136","8,212",49,"13,397","6,341","6,664",49,"13,054","6,894","4,878","3,297","15,069","7,114","4,525","1,853","13,492","7,053","6,769",310,"14,132","7,407","7,665",139,"15,211","7,705","7,125",255,"15,085","6,549","7,298",244,"14,091","4,877","9,090",801,"14,768","6,000","10,686",283,"16,969","6,038","10,967",236,"17,241"
"Antrim County, Michigan",4,Rust Belt,Yankeedom,0500000US26009,,,,,,,,,,,,,,,,,814,"1,140",231,"2,185","1,228","1,886",135,"3,249",729,"2,575",134,"3,438",436,"2,608",102,"3,146",574,"2,020",165,"2,759",450,603,"1,437","2,490",932,"1,336",210,"2,478",518,"2,260",137,"2,915",371,"2,246",308,"2,925",484,"2,756",23,"3,263","1,686","2,308",164,"4,158","2,032","2,391",185,"4,608","1,497","3,027",29,"4,553","1,206","2,626",49,"3,881","1,129","2,588",132,"3,849","1,046","3,533",39,"4,618","1,376","3,623",9,"5,008","1,647","3,398",7,"5,052","2,684","2,172",7,"4,863","1,690","3,002",376,"5,068","2,000","4,068",213,"6,281","3,032","4,369",117,"7,518","2,909","4,706",749,"8,364","2,507","5,726",44,"8,277","3,159","5,231",54,"8,444","3,431","3,984","2,576","9,991","4,226","4,630","1,242","10,098","4,329","6,780",398,"11,507","5,072","8,379",168,"13,619","6,079","7,506",267,"13,852","5,107","7,917",171,"13,195","4,448","8,469",750,"13,667","5,960","9,748",241,"15,949","6,330","10,341",241,"16,912"
