geo,cluster13,region,nation,fips,1876_D,1876_R,1876_O,1876_T,1880_D,1880_R,1880_O,1880_T,1884_D,1884_R,1884_O,1884_T,1888_D,1888_R,1888_O,1888_T,1892_D,1892_R,1892_O,1892_T,1896_D,1896_R,1896_O,1896_T,1900_D,1900_R,1900_O,1900_T,1904_D,1904_R,1904_O,1904_T,1908_D,1908_R,1908_O,1908_T,1912_D,1912_R,1912_O,1912_T,1916_D,1916_R,1916_O,1916_T,1920_D,1920_R,1920_O,1920_T,1924_D,1924_R,1924_O,1924_T,1928_D,1928_R,1928_O,1928_T,1932_D,1932_R,1932_O,1932_T,1936_D,1936_R,1936_O,1936_T,1940_D,1940_R,1940_O,1940_T,1944_D,1944_R,1944_O,1944_T,1948_D,1948_R,1948_O,1948_T,1952_D,1952_R,1952_O,1952_T,1956_D,1956_R,1956_O,1956_T,1960_D,1960_R,1960_O,1960_T,1964_D,1964_R,1964_O,1964_T,1968_D,1968_R,1968_O,1968_T,1972_D,1972_R,1972_O,1972_T,1976_D,1976_R,1976_O,1976_T,1980_D,1980_R,1980_O,1980_T,1984_D,1984_R,1984_O,1984_T,1988_D,1988_R,1988_O,1988_T,1992_D,1992_R,1992_O,1992_T,1996_D,1996_R,1996_O,1996_T,2000_D,2000_R,2000_O,2000_T,2004_D,2004_R,2004_O,2004_T,2008_D,2008_R,2008_O,2008_T,2012_D,2012_R,2012_O,2012_T,2016_D,2016_R,2016_O,2016_T,2020_D,2020_R,2020_O,2020_T,2024_D,2024_R,2024_O,2024_T
"Autauga County, Alabama",12,Gulf Coast,Deep South,0500000US01001,804,"1,576",0,"2,380",978,974,15,"1,967",911,877,1,"1,789",893,519,0,"1,412",926,81,953,"1,960","1,281",289,110,"1,680",980,537,46,"1,563",733,73,10,816,655,97,0,752,622,43,183,848,773,99,16,888,918,210,11,"1,139",781,146,27,954,883,683,0,"1,566","1,322",138,12,"1,472","1,525",84,7,"1,616","1,630",99,12,"1,741","1,242",117,5,"1,364",0,110,"1,176","1,286","1,505",787,16,"2,308","1,161",857,269,"2,287","1,324","1,149",65,"2,538",0,"2,969",490,"3,459","1,553",606,"5,617","7,776","1,593","5,367",180,"7,140","4,640","4,512",186,"9,338","4,295","6,292",476,"11,063","3,366","8,350",201,"11,917","3,667","7,828",159,"11,654","4,819","8,715","2,051","15,585","5,015","9,509",898,"15,422","4,942","11,993",273,"17,208","4,758","15,196",127,"20,081","6,093","17,403",145,"23,641","6,363","17,379",190,"23,932","5,936","18,172",546,"24,654","7,503","19,838",429,"27,770","7,439","20,484",358,"28,281"
"Baldwin County, Alabama",0,Gulf Coast,Deep South,0500000US01003,789,662,0,"1,451",767,663,23,"1,453",776,702,10,"1,488",724,547,0,"1,271",912,382,88,"1,382",726,404,51,"1,181",444,396,81,921,454,126,34,614,439,109,91,639,623,37,266,926,766,216,158,"1,140","1,230",556,151,"1,937","1,023",549,406,"1,978","1,317","1,388",14,"2,719","2,097",544,139,"2,780","2,337",433,196,"2,966","2,681",617,203,"3,501","2,002",695,30,"2,727",0,767,"2,678","3,445","3,386","3,179",52,"6,617","3,878","4,293",244,"8,415","5,647","4,812",177,"10,636",0,"10,870","2,530","13,400","1,821","2,154","14,429","18,404","2,923","15,104",348,"18,375","9,191","13,256",520,"22,967","8,448","18,652","1,253","28,353","7,272","24,964",809,"33,045","9,271","25,933",394,"35,598","12,195","26,270","8,011","46,476","12,776","29,487","4,856","47,119","13,997","40,872","1,611","56,480","15,599","52,971",750,"69,320","19,386","61,271",756,"81,413","18,424","66,016",898,"85,338","18,458","72,883","2,464","93,805","24,578","83,544","1,557","109,679","24,934","95,798","1,517","122,249"
"Barbour County, Alabama",12,Gulf Coast,Deep South,0500000US01005,"3,594",162,0,"3,756","2,753","1,200",1,"3,954","2,122",700,4,"2,826","3,530",452,0,"3,982","4,315",19,"1,241","5,575","2,657","1,437",344,"4,438","2,714",272,44,"3,030","1,356",49,37,"1,442","1,303",43,58,"1,404","1,155",18,105,"1,278","1,235",45,25,"1,305","1,568",203,15,"1,786","1,340",78,45,"1,463","1,507",845,23,"2,374","2,207",64,7,"2,278","2,386",50,11,"2,447","2,328",90,10,"2,428","2,237",67,53,"2,357",0,101,"1,687","1,788","2,250",798,2,"3,050","2,530",777,142,"3,449","2,148","1,166",18,"3,332",0,"3,853",978,"4,831","1,898",386,"5,662","7,946","1,846","4,985",198,"7,029","4,730","3,758",202,"8,690","4,458","4,171",372,"9,001","4,591","5,459",111,"10,161","3,836","4,958",105,"8,899","4,836","4,475","1,120","10,431","4,787","3,627",539,"8,953","5,188","5,096",111,"10,395","4,832","5,899",46,"10,777","5,697","5,866",67,"11,630","5,912","5,550",47,"11,509","4,871","5,454",93,"10,418","4,816","5,622",80,"10,518","4,158","5,606",91,"9,855"
"Bibb County, Alabama",12,Gulf Coast,Deep South,0500000US01007,890,333,0,"1,223",737,106,0,843,622,275,4,901,960,657,9,"1,626","1,152",22,"1,210","2,384","1,516",650,69,"2,235",725,482,70,"1,277","1,085",155,66,"1,306",670,139,109,918,820,40,281,"1,141","1,247",217,123,"1,587","1,643",364,141,"2,148",875,251,248,"1,374","1,188","1,003",8,"2,199","1,636",145,31,"1,812","1,868",190,8,"2,066","1,821",173,18,"2,012","1,287",244,15,"1,546",0,123,"1,220","1,343","1,971",784,14,"2,769","1,471","1,004",107,"2,582","1,697","1,052",3,"2,752",0,"2,623",502,"3,125",652,263,"3,758","4,673",837,"3,332",79,"4,248","2,850","1,591",33,"4,474","3,097","2,491",35,"5,623","2,167","3,487",33,"5,687","2,244","2,885",17,"5,146","2,900","3,124",696,"6,720","2,775","3,037",489,"6,301","2,710","4,273",118,"7,101","2,089","5,472",39,"7,600","2,299","6,262",83,"8,644","2,202","6,132",86,"8,420","1,874","6,738",124,"8,736","1,986","7,525",84,"9,595","1,619","7,572",66,"9,257"
"Blount County, Alabama",0,Gulf Coast,Greater Appalachia,0500000US01009,"1,402",347,0,"1,749","1,318",260,0,"1,578","1,490",463,0,"1,953","1,873",375,7,"2,255","1,944",58,"1,304","3,306","2,422","2,619",70,"5,111","1,484","1,134",186,"2,804","1,383",910,133,"2,426","1,133",973,40,"2,146","1,121",567,612,"2,300","1,488","1,229",32,"2,749","3,535","3,465",50,"7,050","2,083","1,518",109,"3,710","1,607","1,745",0,"3,352","2,232",582,48,"2,862","2,788",744,32,"3,564","2,784",855,38,"3,677","2,134",998,13,"3,145",0,771,"1,792","2,563","3,161","1,720",7,"4,888","3,208","2,628",86,"5,922","3,404","2,557",13,"5,974",0,"4,442","2,427","6,869",331,"2,013","6,742","9,086","1,582","6,486",105,"8,173","6,645","4,233",100,"10,978","5,656","6,819",249,"12,724","3,738","8,508",236,"12,482","4,485","8,754",309,"13,548","5,433","8,882","2,190","16,505","5,061","9,056","1,210","15,327","4,977","12,667",329,"17,973","3,938","17,386",180,"21,504","3,522","20,389",356,"24,267","2,970","20,757",279,"24,006","2,156","22,859",338,"25,353","2,640","24,711",237,"27,588","2,576","25,354",233,"28,163"
"Bullock County, Alabama",11,Gulf Coast,Deep South,0500000US01011,"1,567",959,0,"2,526",125,656,0,781,580,296,3,879,716,465,0,"1,181","1,844",75,"1,483","3,402","1,867",749,147,"2,763","1,586",269,11,"1,866",726,0,2,728,782,10,0,792,736,4,2,742,743,4,2,749,877,2,1,880,763,8,1,772,699,249,0,948,"1,004",12,1,"1,017","1,188",5,1,"1,194","1,301",18,0,"1,319","1,056",24,0,"1,080",0,10,799,809,918,442,0,"1,360",812,304,136,"1,252",757,412,5,"1,174",0,"1,516","1,114","2,630","1,964",190,"2,193","4,347","2,321","2,178",92,"4,591","3,536","1,482",74,"5,092","3,960","1,446",231,"5,637","3,537","1,697",65,"5,299","3,122","1,421",41,"4,584","3,259","1,253",304,"4,816","3,078","1,154",152,"4,384","3,395","1,433",76,"4,904","3,210","1,494",13,"4,717","4,011","1,391",13,"5,415","4,061","1,251",10,"5,322","3,530","1,140",22,"4,692","3,446","1,146",21,"4,613","2,983","1,101",27,"4,111"
"Butler County, Alabama",12,Gulf Coast,Deep South,0500000US01013,"1,956","1,005",0,"2,961","2,026",861,2,"2,889","1,724","1,080",29,"2,833","1,905","1,347",25,"3,277","1,313",253,"1,717","3,283","1,809",846,115,"2,770",744,"1,161",96,"2,001",805,83,67,955,727,137,40,904,903,86,99,"1,088","1,162",78,9,"1,249","1,299",153,19,"1,471","1,050",95,115,"1,260","1,235",699,0,"1,934","2,280",74,10,"2,364","2,358",83,7,"2,448","2,732",52,4,"2,788","1,915",80,5,"2,000",0,91,"1,318","1,409","2,440","1,087",1,"3,528","1,958","1,324",251,"3,533","2,872","1,231",18,"4,121",0,"4,002",973,"4,975","1,240",500,"5,621","7,361","1,401","4,685",42,"6,128","4,271","2,909",28,"7,208","4,156","3,810",402,"8,368","3,641","4,941",127,"8,709","3,465","3,923",71,"7,459","4,021","3,494",963,"8,478","3,828","3,352",590,"7,770","3,606","4,127",70,"7,803","3,413","4,979",24,"8,416","4,188","5,485",36,"9,709","4,374","5,087",35,"9,496","3,726","4,901",65,"8,692","3,965","5,458",65,"9,488","3,251","5,172",57,"8,480"
"Calhoun County, Alabama",12,Gulf Coast,Greater Appalachia,0500000US01015,"2,040",421,0,"2,461","1,984",509,12,"2,505","2,035","1,066",5,"3,106","2,680",938,10,"3,628","3,249",218,"1,617","5,084","2,788","1,222",286,"4,296","1,835",567,282,"2,684","1,556",287,90,"1,933","1,438",570,113,"2,121","1,666",238,455,"2,359","2,231",442,54,"2,727","3,423","1,139",39,"4,601","1,907",766,146,"2,819","2,117","2,537",1,"4,655","4,392",685,31,"5,108","4,322",581,58,"4,961","4,408",645,18,"5,071","4,308",694,28,"5,030",0,856,"3,325","4,181","8,023","3,064",106,"11,193","9,069","4,473",358,"13,900","9,590","4,821",125,"14,536",0,"10,635","6,210","16,845","4,146","3,061","19,568","26,775","5,832","20,364",275,"26,471","20,466","11,763",471,"32,700","17,017","17,475","1,049","35,541","12,752","23,291","2,039","38,082","12,451","19,806","1,711","33,968","16,453","20,623","5,724","42,800","15,725","18,088","3,098","36,911","15,781","22,306",822,"38,909","15,083","29,814",352,"45,249","16,334","32,348",560,"49,242","15,511","30,278",468,"46,257","13,242","32,865","1,116","47,223","15,216","35,101",666,"50,983","13,194","34,912",547,"48,653"
"Chambers County, Alabama",12,Gulf Coast,Deep South,0500000US01017,"2,282","1,053",2,"3,337","1,918",884,28,"2,830","1,805","1,069",0,"2,874","2,115","1,593",0,"3,708","2,321",108,"1,717","4,146","2,010","1,057",90,"3,157","2,837",835,151,"3,823","1,421",74,70,"1,565","1,025",50,29,"1,104","1,486",28,122,"1,636","1,679",168,21,"1,868","1,994",322,14,"2,330","1,922",146,44,"2,112",999,"1,732",0,"2,731","2,552",342,11,"2,905","3,626",112,4,"3,742","4,141",110,11,"4,262","3,458",194,10,"3,662",0,218,"1,549","1,767","6,155",990,45,"7,190","5,165","1,448",124,"6,737","5,165","1,865",71,"7,101",0,"4,630","2,557","7,187","1,358","1,082","8,196","10,636","2,076","8,716",211,"11,003","6,164","5,488",196,"11,848","6,649","4,864",386,"11,899","5,302","8,024",137,"13,463","5,103","7,694",159,"12,956","5,938","5,682","1,471","13,091","5,515","4,707",875,"11,097","5,616","6,037",181,"11,834","5,347","7,622",63,"13,032","6,799","8,067",90,"14,956","6,871","7,626",114,"14,611","5,784","7,843",168,"13,795","6,365","8,753",166,"15,284","5,405","8,711",129,"14,245"
"Cherokee County, Alabama",3,Gulf Coast,Greater Appalachia,0500000US01019,"1,666",293,0,"1,959","1,390",180,0,"1,570","1,397",427,0,"1,824","1,686",333,21,"2,040","1,709",139,"1,303","3,151","1,776",602,107,"2,485","1,167","1,169",451,"2,787",905,502,285,"1,692",712,602,98,"1,412",814,88,846,"1,748","1,136",508,32,"1,676","1,969","1,576",58,"3,603","1,380",845,51,"2,276",894,"1,515",4,"2,413","1,897",359,27,"2,283","2,113",375,19,"2,507","2,617",381,12,"3,010","1,774",408,18,"2,200",0,217,"1,076","1,293","2,664",539,8,"3,211","2,661",845,7,"3,513","3,097",872,4,"3,973",0,"1,893","1,916","3,809",462,343,"4,880","5,685","1,182","3,179",61,"4,422","4,668","1,492",96,"6,256","3,764","2,482",192,"6,438","3,029","3,225",65,"6,319","3,176","2,868",57,"6,101","4,222","2,745",909,"7,876","4,399","3,048",974,"8,421","3,497","4,154",172,"7,823","3,040","5,923",86,"9,049","2,306","7,298",141,"9,745","2,132","7,506",141,"9,779","1,547","8,953",147,"10,647","1,624","10,583",94,"12,301","1,553","11,358",95,"13,006"
"Chilton County, Alabama",2,Gulf Coast,Deep South,0500000US01021,728,151,0,879,713,131,0,844,841,295,0,"1,136","1,101",437,0,"1,538",648,121,902,"1,671","1,131",310,74,"1,515",469,791,52,"1,260",738,648,271,"1,657",656,890,76,"1,622",880,140,"1,226","2,246",881,"1,363",54,"2,298",962,"2,273",54,"3,289",848,"1,595",81,"2,524","1,402","3,186",5,"4,593","1,664","1,533",55,"3,252","2,565","1,469",21,"4,055","2,746","1,995",10,"4,751","1,984","1,385",7,"3,376",0,"1,584","1,985","3,569","2,269","2,563",12,"4,844","1,891","3,139",118,"5,148","1,798","3,201",8,"5,007",0,"5,202","1,645","6,847",566,"1,602","6,734","8,902","1,356","7,349",162,"8,867","5,550","4,725",110,"10,385","4,706","6,615",156,"11,477","2,934","8,243",511,"11,688","3,820","8,761",42,"12,623","4,946","8,126","1,396","14,468","5,354","7,910","1,014","14,278","4,806","10,066",220,"15,092","3,778","12,829",86,"16,693","3,674","13,960",151,"17,785","3,397","13,932",133,"17,462","2,911","15,081",228,"18,220","3,073","16,085",152,"19,310","2,698","16,920",145,"19,763"
"Choctaw County, Alabama",12,Gulf Coast,Deep South,0500000US01023,"1,209",693,0,"1,902","1,050",520,702,"2,272",964,367,0,"1,331","1,389",629,0,"2,018",864,216,998,"2,078","1,485",357,61,"1,903",658,406,50,"1,114",558,45,27,630,590,44,27,661,489,7,70,566,765,21,14,800,"1,071",82,3,"1,156","1,021",19,4,"1,044","1,242",429,0,"1,671","1,533",48,1,"1,582","1,507",74,0,"1,581","2,023",73,0,"2,096","1,243",86,3,"1,332",0,16,"1,441","1,457","1,583",593,9,"2,185","1,250",457,72,"1,779","1,094",612,92,"1,798",0,"2,497",413,"2,910","1,641",176,"4,276","6,093","1,934","3,055",41,"5,030","3,911","3,033",28,"6,972","3,680","2,859",41,"6,580","3,373","3,960",16,"7,349","3,491","3,629",11,"7,131","3,941","3,069",550,"7,560","4,074","2,623",434,"7,131","3,707","3,600",67,"7,374","3,303","3,897",27,"7,227","3,636","4,223",35,"7,894","3,786","4,152",30,"7,968","3,109","4,106",52,"7,267","3,127","4,296",41,"7,464","2,515","4,103",38,"6,656"
"Clarke County, Alabama",12,Gulf Coast,Deep South,0500000US01025,"1,406","1,120",0,"2,526","1,138",740,0,"1,878","1,045",888,0,"1,933","1,566","1,235",0,"2,801","1,561",371,"1,042","2,974","2,243",502,47,"2,792","2,066",372,18,"2,456","1,131",79,26,"1,236","1,169",56,16,"1,241","1,024",13,37,"1,074","1,397",25,12,"1,434","1,253",43,6,"1,302","1,059",78,15,"1,152","1,662",936,0,"2,598","2,408",53,4,"2,465","2,673",60,2,"2,735","3,753",48,1,"3,802","2,263",142,3,"2,408",0,47,"2,063","2,110","3,121","1,303",1,"4,425","1,962","1,246",7,"3,215","1,878","2,016",73,"3,967",0,"4,460",924,"5,384","1,717",488,"6,421","8,626","2,031","5,256",127,"7,414","4,737","4,126",143,"9,006","5,249","5,059",355,"10,663","4,452","6,282",77,"10,811","4,217","5,708",95,"10,020","5,023","5,495","1,199","11,717","4,831","4,785",502,"10,118","4,679","5,988",85,"10,752","4,627","6,730",37,"11,394","5,914","7,466",55,"13,435","6,334","7,470",47,"13,851","5,749","7,140",99,"12,988","5,755","7,324",56,"13,135","4,927","6,965",66,"11,958"
"Clay County, Alabama",0,Gulf Coast,Greater Appalachia,0500000US01027,"1,188",166,0,"1,354","1,002",52,174,"1,228","1,147",274,0,"1,421","1,278",376,4,"1,658","1,161",47,"1,103","2,311","1,410",489,62,"1,961",990,"1,087",131,"2,208","1,345",990,44,"2,379",863,594,37,"1,494","1,109",64,941,"2,114","1,196",677,4,"1,877","2,165","2,133",3,"4,301","1,597","1,017",53,"2,667",978,"1,889",1,"2,868","2,104",933,22,"3,059","2,138",699,139,"2,976","2,153",854,16,"3,023","1,535",741,14,"2,290",0,387,"1,115","1,502","1,972","1,183",9,"3,164","1,677","1,597",49,"3,323","1,743","1,548",16,"3,307",0,"2,815","1,199","4,014",256,706,"4,082","5,044",507,"3,948",19,"4,474","2,946","1,883",29,"4,858","2,858","2,764",125,"5,747","1,456","3,432",145,"5,033","1,602","3,496",140,"5,238","2,073","2,859",823,"5,755","2,306","2,694",568,"5,568","2,045","3,719",119,"5,883","1,893","4,624",59,"6,576","1,760","4,984",75,"6,819","1,777","4,817",68,"6,662","1,237","5,245",93,"6,575","1,267","5,601",62,"6,930",993,"5,734",40,"6,767"
"Cleburne County, Alabama",0,Gulf Coast,Greater Appalachia,0500000US01029,"1,052",219,0,"1,271",904,117,0,"1,021",935,285,0,"1,220",940,276,1,"1,217","1,045",47,662,"1,754",993,472,54,"1,519",660,624,100,"1,384",701,414,37,"1,152",278,357,81,716,691,133,512,"1,336",760,578,14,"1,352",684,971,2,"1,657",622,696,42,"1,360",794,"1,108",0,"1,902","1,403",405,4,"1,812","1,212",543,11,"1,766","1,369",434,5,"1,808",948,504,6,"1,458",0,317,710,"1,027","1,557",792,5,"2,354","1,407","1,056",7,"2,470","1,510","1,008",4,"2,522",0,"2,156",672,"2,828",160,485,"3,350","3,995",581,"3,420",13,"4,014","2,490","1,436",55,"3,981","2,050","2,389",87,"4,526","1,238","3,259",126,"4,623","1,383","3,071",36,"4,490","2,144","2,425",668,"5,237","1,737","2,063",441,"4,241","1,664","3,333",95,"5,092","1,391","4,370",37,"5,798","1,168","5,216",108,"6,492",971,"5,272",62,"6,305",684,"5,764",90,"6,538",675,"6,484",68,"7,227",605,"6,988",58,"7,651"
"Coffee County, Alabama",12,Gulf Coast,Deep South,0500000US01031,835,25,0,860,764,63,0,827,875,39,0,914,"1,124",7,0,"1,131",992,47,904,"1,943","1,494",114,76,"1,684",998,535,49,"1,582","1,106",226,387,"1,719","1,305",341,240,"1,886","1,277",68,462,"1,807","2,029",426,21,"2,476","1,721",673,14,"2,408","1,597",323,25,"1,945","1,609","1,036",0,"2,645","2,868",95,2,"2,965","3,178",110,17,"3,305","2,226",145,0,"2,371","2,846",115,3,"2,964",0,113,"2,039","2,152","3,919",699,2,"4,620","4,163",973,132,"5,268","4,470","1,381",16,"5,867",0,"4,910","1,213","6,123","1,071",682,"9,013","10,766","2,160","9,076",100,"11,336","7,844","4,683",124,"12,651","6,140","6,760",499,"13,399","4,370","10,558",190,"15,118","4,319","8,890",146,"13,355","5,776","7,591","2,166","15,533","5,168","7,805","1,186","14,159","5,220","9,938",276,"15,434","4,480","13,019",117,"17,616","5,079","14,919",130,"20,128","4,925","14,666",179,"19,770","4,221","15,875",396,"20,492","5,076","16,899",300,"22,275","4,601","17,495",223,"22,319"
"Colbert County, Alabama",3,Gulf Coast,Deep South,0500000US01033,"1,382",778,0,"2,160","1,237","1,072",167,"2,476","1,094","1,200",32,"2,326","1,274","1,315",7,"2,596","1,960",0,"1,510","3,470","1,658","1,754",107,"3,519","1,542","1,243",120,"2,905",936,203,23,"1,162",849,353,64,"1,266",946,228,321,"1,495","1,132",352,45,"1,529","1,869",650,62,"2,581","1,503",576,199,"2,278","2,596","1,249",103,"3,948","2,908",312,24,"3,244","3,365",251,12,"3,628","3,998",365,8,"4,371","3,386",496,7,"3,889",0,488,"2,637","3,125","5,920","1,381",7,"7,308","7,007","1,819",111,"8,937","7,550","2,815",143,"10,508",0,"5,267","5,573","10,840","2,291","1,727","11,603","15,621","4,811","11,215",538,"16,564","11,996","4,471",375,"16,842","12,550","6,619",844,"20,013","11,008","9,530",494,"21,032","10,397","7,775",232,"18,404","12,206","8,073","2,160","22,439","10,226","8,305","1,787","20,318","10,543","10,518",471,"21,532","10,598","13,188",149,"23,935","9,703","14,739",401,"24,843","9,166","13,936",283,"23,385","7,312","16,746",511,"24,569","8,343","19,203",340,"27,886","7,137","19,714",309,"27,160"
"Conecuh County, Alabama",11,Gulf Coast,Deep South,0500000US01035,"1,169",777,0,"1,946","1,154",843,0,"1,997","1,036",972,1,"2,009","1,347",748,0,"2,095",877,0,"1,628","2,505",931,881,196,"2,008",718,803,146,"1,667",739,106,20,865,651,111,34,796,802,60,129,991,"1,036",42,19,"1,097","1,315",189,0,"1,504",955,92,37,"1,084",858,"1,113",0,"1,971","2,125",114,0,"2,239","2,195",89,12,"2,296","2,345",50,5,"2,400","1,498",127,15,"1,640",0,64,"1,345","1,409","1,678",749,31,"2,458","1,687",885,182,"2,754","1,815",650,50,"2,515",0,"2,782",639,"3,421","1,151",186,"4,009","5,346","1,042","3,214",40,"4,296","3,086","1,812",82,"4,980","3,102","2,948",131,"6,181","2,735","3,538",61,"6,334","3,022","3,256",79,"6,357","3,155","2,463",689,"6,307","2,903","2,093",465,"5,461","2,783","2,699",69,"5,551","2,719","3,271",31,"6,021","3,429","3,470",44,"6,943","3,555","3,439",28,"7,022","3,080","3,420",51,"6,551","2,966","3,442",33,"6,441","2,580","3,423",48,"6,051"
"Coosa County, Alabama",3,Gulf Coast,Deep South,0500000US01037,"1,347",733,0,"2,080","1,296",812,14,"2,122","1,361",817,6,"2,184","1,329",739,0,"2,068",954,107,"1,295","2,356","1,293",499,88,"1,880",959,951,71,"1,981",933,472,118,"1,523",717,447,80,"1,244",763,109,334,"1,206",867,485,37,"1,389","1,007",741,16,"1,764",790,508,16,"1,314",699,"1,078",1,"1,778","1,265",250,16,"1,531","1,346",239,32,"1,617","1,347",317,13,"1,677","1,079",394,8,"1,481",0,275,849,"1,124","1,501",788,2,"2,291","1,411","1,070",38,"2,519","1,493","1,073",9,"2,575",0,"1,978",740,"2,718",623,330,"2,858","3,811",773,"2,672",16,"3,461","2,533","1,196",37,"3,766","2,383","1,714",112,"4,209","1,781","2,585",19,"4,385","1,860","2,405",18,"4,283","2,330","1,973",495,"4,798","2,121","1,721",289,"4,131","2,104","2,382",81,"4,567","2,055","2,905",41,"5,001","2,273","3,248",42,"5,563","2,191","3,049",29,"5,269","1,782","3,381",53,"5,216","1,796","3,631",52,"5,479","1,478","3,758",32,"5,268"
"Covington County, Alabama",12,Gulf Coast,Deep South,0500000US01039,820,31,0,851,879,64,3,946,741,89,2,832,"1,058",50,0,"1,108",840,7,563,"1,410","1,097",69,32,"1,198",560,183,98,841,907,310,117,"1,334","1,054",315,118,"1,487","1,251",110,340,"1,701","1,738",305,131,"2,174","2,039",548,67,"2,654","1,776",156,136,"2,068","2,000","1,681",5,"3,686","3,855",99,14,"3,968","4,265",167,14,"4,446","4,635",186,3,"4,824","2,972",256,3,"3,231",0,154,"2,782","2,936","4,956","1,581",21,"6,558","4,887","2,257",346,"7,490","5,744","2,047",33,"7,824",0,"7,554","1,621","9,175",791,831,"11,506","13,128","1,547","9,278",56,"10,881","7,081","4,977",166,"12,224","6,305","7,014",289,"13,608","3,812","9,944",127,"13,883","3,845","8,130",98,"12,073","5,004","6,840","2,118","13,962","4,543","6,035","1,335","11,913","4,440","8,961",212,"13,613","3,423","11,119",85,"14,627","3,240","12,444",103,"15,787","3,158","12,153",112,"15,423","2,387","13,267",183,"15,837","2,721","14,586",123,"17,430","2,314","14,677",104,"17,095"
"Crenshaw County, Alabama",12,Gulf Coast,Deep South,0500000US01041,"1,427",174,0,"1,601","1,774",231,0,"2,005","1,600",246,0,"1,846","1,923",197,0,"2,120","1,320",49,"1,278","2,647","1,808",330,192,"2,331","1,141",549,288,"1,978","1,077",180,102,"1,359","1,100",311,74,"1,485",986,47,134,"1,167","1,427",139,12,"1,578","1,411",310,8,"1,729","1,107",117,19,"1,243","1,314",978,0,"2,292","2,248",127,37,"2,412","2,371",96,4,"2,471","2,680",84,9,"2,773","1,980",118,7,"2,105",0,38,"1,394","1,432","2,485",544,3,"3,032","2,252",567,156,"2,975","2,923",573,5,"3,501",0,"3,008",816,"3,824",726,209,"4,545","5,480","1,085","3,129",80,"4,294","3,372","1,801",93,"5,266","2,704","2,478",74,"5,256","1,904","3,261",107,"5,272","1,836","2,617",25,"4,478","2,404","2,339",547,"5,290","2,172","1,939",336,"4,447","1,934","2,793",68,"4,795","1,698","3,777",25,"5,500","1,938","4,319",34,"6,291","2,050","4,331",37,"6,418","1,664","4,513",65,"6,242","1,700","4,864",53,"6,617","1,457","5,000",29,"6,486"
"Cullman County, Alabama",2,Gulf Coast,Deep South,0500000US01043,,,,,336,163,0,499,506,232,2,740,920,350,2,"1,272","1,066",6,"1,031","2,103","1,202",447,167,"1,816","1,167",820,156,"2,143","1,497","1,238",283,"3,018","1,239","1,521",143,"2,903","1,230",264,"1,401","2,895","1,396","1,351",16,"2,763","2,566","3,492",43,"6,101","1,809","1,639",185,"3,633","1,574","2,959",0,"4,533","2,910",956,78,"3,944","3,779","1,703",15,"5,497","5,603","3,057",26,"8,686","3,898","2,202",45,"6,145",0,"1,755","3,609","5,364","5,254","3,391",22,"8,667","5,510","4,381",38,"9,929","6,346","4,248",5,"10,599",0,"7,152","5,110","12,262","1,115","4,964","11,186","17,265","3,571","14,390",130,"18,091","12,961","6,899",195,"20,055","11,525","10,212",503,"22,240","7,989","14,782",355,"23,126","8,517","14,351",329,"23,197","10,451","14,411","4,181","29,043","9,544","14,308","2,701","26,553","9,758","19,157",610,"29,525","8,045","26,818",328,"35,191","5,864","28,896",545,"35,305","5,052","28,999",406,"34,457","3,798","32,989",687,"37,474","4,478","36,880",493,"41,851","4,039","38,704",403,"43,146"
"Dale County, Alabama",12,Gulf Coast,Deep South,0500000US01045,"1,143",269,0,"1,412","1,224",284,0,"1,508",980,145,71,"1,196","1,266",15,0,"1,281","1,460",15,"1,110","2,585","2,155",289,144,"2,588","1,141",888,199,"2,228",997,345,84,"1,426",921,346,56,"1,323","1,059",99,446,"1,604","1,260",597,13,"1,870","1,386",768,21,"2,175","1,117",297,27,"1,441","1,233","1,000",1,"2,234","2,300",155,1,"2,456","2,404",193,2,"2,599","2,543",374,5,"2,922","2,094",325,28,"2,447",0,230,"1,372","1,602","2,669","1,073",21,"3,763","2,318","1,284",110,"3,712","2,563","1,634",21,"4,218",0,"4,970",963,"5,933",862,607,"8,236","9,705","1,594","8,346",98,"10,038","6,346","4,996",189,"11,531","4,936","7,247",390,"12,573","3,215","10,319",158,"13,692","3,476","9,266",163,"12,905","5,098","8,123","2,566","15,787","4,732","8,288","1,310","14,330","4,906","10,593",307,"15,806","4,484","13,621",126,"18,231","5,270","13,886",164,"19,320","5,286","13,108",163,"18,557","4,413","13,808",350,"18,571","5,170","14,303",265,"19,738","4,484","14,476",179,"19,139"
